,field,variable,name,category
0, Education ,Literacy rate,"literacy_rate, rate_literacy, literacy, education_rate, rate_of_literacy",rate
1, Education ,Enrollment rate,"enrollment_rate, rate_of_enrollment, enrollment_percentage, enrollment_ratio, admission_rate",continuous
2, Education ,School drop-out rate,"drop_out_rate, school_drop_out_rate, rate_drop_out, drop_out_percentage, drop_out_ratio",rate
3, Education ,Teacher/student ratio,"teacher_student_ratio, ratio, education_ratio, student_teacher_ratio, class_ratio",continuous
4, Education ,Expenditure per student,"expenditure_per_student, student_expenditure, per_student_expenditure, student_cost, cost_per_student",continuous
9, Employment ,Unemployment rate,"unemployment_rate, rate_unemployment, joblessness_rate, rate_joblessness, unemployment_percentage",rate
10, Employment ,Employment rate,"employment_rate, job_rate, employment_percentage, rate_of_employment, job_occupancy",rate
11, Employment ,Labor force participation rate,"labor_participation_rate, participation_rate, labor_force_participation, rate_participation, workforce_participation",rate
12, Employment ,Wage growth,"wage_growth, growth_rate, wage_increase, wage_trend, salary_growth",continuous
13, Employment ,Underemployment rate,"underemployment_rate, rate_underemployment, underemployment_percentage, underemployment_ratio, underemployment_index",rate
16, Health ,Life expectancy,"life_expectancy, expectancy, lifespan, life_duration, longevity",continuous
17, Health ,Infant mortality rate,"infant_mortality_rate, mortality_rate_infant, infant_mortality, rate_infant_mortality, infant_rate",rate
18, Health ,Disease prevalence,"disease_prevalence, prevalence, disease_rate, rate_of_disease, disease_occurrence",continuous
19, Health ,Vaccination coverage,"vaccination_coverage, coverage, vaccine_coverage, immunization_coverage, vaccination_rate",rate
20, Health ,Maternal mortality rate,"maternal_mortality_rate, mortality_rate, maternal_mortality, rate_mortality, rate",continuous
21, Crime ,Crime rate,"crime_rate, rate_of_crime, crime_index, crime_frequency, criminal_activity",rate
22, Crime ,Violent crime rate,"crime_rate, voilen_crime_rate, crime_rate_violent",rate
23, Crime ,Property crime rate,"property_crime_rate, crime_rate, property_crime, rate_property_crime, crime_rate_property",rate
24, Crime ,Recidivism rate,"recidivism_rate, rate_recidivism, recidivism, rate_of_recidivism, recidivism_percentage",continuous
25, Crime ,Police clearance rate,"police_clearance_rate, clearance_rate, rate_police_clearance, police_rate, clearance_rate_police",rate
26, Transportation ,Average commute time,"commute, time, commute_time, average_commute_time",continuous
27, Transportation ,Public transport ridership,"transport_ridership, public_transport_ridership, ridership, public_transport_usage, transport_usage",continuous
28, Transportation ,Road congestion index,"congestion_index, road_congestion, congestion, traffic_index, road_traffic_index",continuous
29, Transportation ,Road traffic accidents,"traffic_accidents, road_accidents, accidents_on_road, road_traffic_incidents, collision_rate",continuous
30, Transportation ,Airport passenger traffic,"passenger_traffic, airport_traffic, traffic_passenger, pass_traffic, air_traffic",continuous
