,field,variable,name,category
0, climate change ,average temperature,"avg_temperature, average_temp, mean_temperature, temperature_average, temp_avg",continuous
1, climate change ,sea level rise,"sea_level_rise, sea_rise, sea_level_increase, rise_in_sea_level, coastal_rise",continuous
2, climate change ,CO2 emissions,"co2_emissions, emissions_co2, carbon_dioxide_emissions, co2_output, carbon_emissions",continuous
3, climate change ,deforestation rates,"deforestation_rate, deforestation, forest_loss_rate, tree_clearance_rate, logging_rate",continuous
4, climate change ,ice cap melting rate,"melting_rate, ice_cap_melting, ice_melt_rate, cap_melting_speed, ice_melting_velocity",continuous
5, public health ,vaccination rates,"vaccination_rate, vaccine_coverage, immunization_rate, vaccination_percentage, coverage_rate",continuous
6, public health ,disease incidence,"incidence_rate, disease_incidence, incidence, disease_rate, infection_rate",continuous
7, public health ,life expectancy,"life_expectancy, expectancy, average_lifespan, expected_lifespan, lifespan",continuous
8, public health ,hospital beds per capita,"beds_per_capita, hospital_beds_capita, per_capita_beds, capita_bed_ratio, healthcare_capacity",continuous
9, public health ,obesity rates,"obesity_rates, obesity_percentage, obesity_level, obesity_index, rate_of_obesity",continuous
10, housing market ,median home price,"median_home_price, median_price, home_price, median_house_price, house_price_median",continuous
11, housing market ,housing starts,"housing_starts, new_constructions, building_commencements, residential_starts, construction_initiations",continuous
12, housing market ,mortgage rates,"mortgage_rate, interest_rate, home_loan_rate, property_interest, lending_rate",continuous
13, housing market ,rent prices,"rent, price, rent_price, monthly_rent, rental_cost",continuous
14, housing market ,vacancy rates,"vacancy_rate, vacancy_percentage, rate_of_vacancy, vacancy_ratio, empty_units_rate",continuous
15, energy consumption ,electricity usage,"electricity_usage, power_consumption, energy_use, usage_electric, electric_use",continuous
16, energy consumption ,renewable energy production,"renewable_production, energy_production, green_energy_output, sustainable_energy, clean_energy_generated",continuous
17, energy consumption ,oil consumption,"oil_consumption, consumption_oil, oil_usage, annual_oil_consumption, total_oil_consumed",continuous
18, energy consumption ,energy efficiency,"energy_efficiency, efficiency_rating, efficiency_score, energy_efficiency_value, energy_saving_efficiency",continuous
19, energy consumption ,carbon footprint,"carbon_footprint, footprint_carbon, CO2_footprint, greenhouse_gas_emissions, emissions_footprint",continuous
20, retail sales ,consumer spending,"spending, consumer_spending, expenditure, customer_expenditure, purchase_total",continuous
21, retail sales ,retail revenue,"retail_revenue, revenue, sales_revenue, store_revenue, total_revenue",continuous
22, retail sales ,online sales,"online_sales, sales_online, e_sales, internet_sales, digital_sales",continuous
23, retail sales ,store count,"store_count, number_of_stores, total_stores, store_quantity, shop_count",continuous
24, retail sales ,product demand,"demand, product_demand, demand_level, consumer_demand, market_demand",continuous
25, political engagement ,voter turnout,"turnout, voter_turnout, election_turnout, voting_rate, participation_rate",continuous
