,dataset,treatment,treatment_name,outcome,outcome_name,condition,condition_name,condition_value,prompt,input,output
0,housing_market.csv,median home price,home_price,mortgage rates,home_loan_rate,vacancy rates,empty_units_rate,0.07,"Given the details below, generate five diverse and plain-worded questions. Each question should seek advice on what action a person or subject should take under specific conditions:
- Dataset name: housing_market.csv
- Treatment variable: median home price (home_price)
- Outcome variable: mortgage rates (home_loan_rate)
- Condition variable: vacancy rates
- Condition value: 0.07 (empty_units_rate=0.07)
-----------------------------------------------------------
Here are some examples:
Example 1: given the following information:
- Dataset name: diabetes.csv
- Treatment variable: insulin dose (Dose)
- Outcome variable: blood glucose condition (glucose)
- Condition variable: exercise frequency
- Condition value: 2 (exercise=2)

The corresponding questions can be:
- Based on the diabetes.csv dataset, what insulin dose (Dose) strategy is recommended for someone who exercises with a frequency value of 2 (exercise=2) to achieve optimal blood glucose condition (glucose) levels?
- Looking at the diabetes.csv data, what changes to insulin dose (Dose) might be advised for an individual with an exercise frequency of 2 (exercise=2) to effectively manage their blood glucose condition (glucose) levels?
- Considering the patient's consistent exercise frequency of 2 (exercise=2), what specific insights from the diabetes.csv dataset can guide me in determining the right insulin dose (Dose) for optimizing their monitored blood glucose condition (glucose)?

Example 2: given the following information:
- Dataset name: DRR.csv
- Treatment variable: disaster preparedness plan
- Outcome variable: building code compliance rate (BCC_rate)
- Condition variable: community resilience
- Condition value: 0.07

The corresponding questions can be:
- When we take a good look at what the DRR.csv's got and think about our community resilience being only 0.07, would you say giving the green light to that disaster preparedness plan is the way to go for bumping up our building code compliance rate (BCC_rate)?
- Upon examining the DRR.csv dataset, do we have a clear indication to implement the disaster preparedness plan, particularly given that our community resilience is quantified at just 0.07 and our goal is to enhance the building code compliance rate (BCC_rate)?
- Given that our community resilience is currently at 0.07, does the DRR.csv data suggest that adopting the disaster preparedness plan would significantly boost our building code compliance rate (BCC_rate)?

-----------------------------------------------------------
Ensure that the questions employ a mix of different phrasing and diverse sentence structures.
Ensure that the questions focus on soliciting recommendations for the best possible action listed in Treatment variable field.
Ensure that the questions do not mention correlation and association.
Ensure that the provided names are integrated naturally into the questions without discarding or altering any part of them.
Ensure that the input names are preserved exactly as given without quotes.
Ensure that all of Treatment variable, Outcome variable, and Condition variable are mentioned in the generated query.
"," Looking at the housing_market.csv data, when the vacancy rate is at 0.07 (empty_units_rate=0.07), what should be the ideal median home price (home_price) to aim for that could influence the mortgage rates (home_loan_rate) favorably?","{'causal_problem': ['CPL', None], 'dataset': ['housing_market.csv'], 'treatment': ['home_price'], 'response': ['home_loan_rate'], 'condition': [('empty_units_rate', 0.07)]}"
1,housing_market.csv,median home price,home_price,mortgage rates,home_loan_rate,vacancy rates,empty_units_rate,0.07,"Given the details below, generate five diverse and plain-worded questions. Each question should seek advice on what action a person or subject should take under specific conditions:
- Dataset name: housing_market.csv
- Treatment variable: median home price (home_price)
- Outcome variable: mortgage rates (home_loan_rate)
- Condition variable: vacancy rates
- Condition value: 0.07 (empty_units_rate=0.07)
-----------------------------------------------------------
Here are some examples:
Example 1: given the following information:
- Dataset name: diabetes.csv
- Treatment variable: insulin dose (Dose)
- Outcome variable: blood glucose condition (glucose)
- Condition variable: exercise frequency
- Condition value: 2 (exercise=2)

The corresponding questions can be:
- Based on the diabetes.csv dataset, what insulin dose (Dose) strategy is recommended for someone who exercises with a frequency value of 2 (exercise=2) to achieve optimal blood glucose condition (glucose) levels?
- Looking at the diabetes.csv data, what changes to insulin dose (Dose) might be advised for an individual with an exercise frequency of 2 (exercise=2) to effectively manage their blood glucose condition (glucose) levels?
- Considering the patient's consistent exercise frequency of 2 (exercise=2), what specific insights from the diabetes.csv dataset can guide me in determining the right insulin dose (Dose) for optimizing their monitored blood glucose condition (glucose)?

Example 2: given the following information:
- Dataset name: DRR.csv
- Treatment variable: disaster preparedness plan
- Outcome variable: building code compliance rate (BCC_rate)
- Condition variable: community resilience
- Condition value: 0.07

The corresponding questions can be:
- When we take a good look at what the DRR.csv's got and think about our community resilience being only 0.07, would you say giving the green light to that disaster preparedness plan is the way to go for bumping up our building code compliance rate (BCC_rate)?
- Upon examining the DRR.csv dataset, do we have a clear indication to implement the disaster preparedness plan, particularly given that our community resilience is quantified at just 0.07 and our goal is to enhance the building code compliance rate (BCC_rate)?
- Given that our community resilience is currently at 0.07, does the DRR.csv data suggest that adopting the disaster preparedness plan would significantly boost our building code compliance rate (BCC_rate)?

-----------------------------------------------------------
Ensure that the questions employ a mix of different phrasing and diverse sentence structures.
Ensure that the questions focus on soliciting recommendations for the best possible action listed in Treatment variable field.
Ensure that the questions do not mention correlation and association.
Ensure that the provided names are integrated naturally into the questions without discarding or altering any part of them.
Ensure that the input names are preserved exactly as given without quotes.
Ensure that all of Treatment variable, Outcome variable, and Condition variable are mentioned in the generated query.
"," With the current vacancy rates sitting at 0.07 (empty_units_rate=0.07) in the housing_market.csv dataset, what median home price (home_price) might we consider to potentially affect mortgage rates (home_loan_rate) in a positive manner?","{'causal_problem': ['CPL', None], 'dataset': ['housing_market.csv'], 'treatment': ['home_price'], 'response': ['home_loan_rate'], 'condition': [('empty_units_rate', 0.07)]}"
2,housing_market.csv,median home price,home_price,mortgage rates,home_loan_rate,vacancy rates,empty_units_rate,0.07,"Given the details below, generate five diverse and plain-worded questions. Each question should seek advice on what action a person or subject should take under specific conditions:
- Dataset name: housing_market.csv
- Treatment variable: median home price (home_price)
- Outcome variable: mortgage rates (home_loan_rate)
- Condition variable: vacancy rates
- Condition value: 0.07 (empty_units_rate=0.07)
-----------------------------------------------------------
Here are some examples:
Example 1: given the following information:
- Dataset name: diabetes.csv
- Treatment variable: insulin dose (Dose)
- Outcome variable: blood glucose condition (glucose)
- Condition variable: exercise frequency
- Condition value: 2 (exercise=2)

The corresponding questions can be:
- Based on the diabetes.csv dataset, what insulin dose (Dose) strategy is recommended for someone who exercises with a frequency value of 2 (exercise=2) to achieve optimal blood glucose condition (glucose) levels?
- Looking at the diabetes.csv data, what changes to insulin dose (Dose) might be advised for an individual with an exercise frequency of 2 (exercise=2) to effectively manage their blood glucose condition (glucose) levels?
- Considering the patient's consistent exercise frequency of 2 (exercise=2), what specific insights from the diabetes.csv dataset can guide me in determining the right insulin dose (Dose) for optimizing their monitored blood glucose condition (glucose)?

Example 2: given the following information:
- Dataset name: DRR.csv
- Treatment variable: disaster preparedness plan
- Outcome variable: building code compliance rate (BCC_rate)
- Condition variable: community resilience
- Condition value: 0.07

The corresponding questions can be:
- When we take a good look at what the DRR.csv's got and think about our community resilience being only 0.07, would you say giving the green light to that disaster preparedness plan is the way to go for bumping up our building code compliance rate (BCC_rate)?
- Upon examining the DRR.csv dataset, do we have a clear indication to implement the disaster preparedness plan, particularly given that our community resilience is quantified at just 0.07 and our goal is to enhance the building code compliance rate (BCC_rate)?
- Given that our community resilience is currently at 0.07, does the DRR.csv data suggest that adopting the disaster preparedness plan would significantly boost our building code compliance rate (BCC_rate)?

-----------------------------------------------------------
Ensure that the questions employ a mix of different phrasing and diverse sentence structures.
Ensure that the questions focus on soliciting recommendations for the best possible action listed in Treatment variable field.
Ensure that the questions do not mention correlation and association.
Ensure that the provided names are integrated naturally into the questions without discarding or altering any part of them.
Ensure that the input names are preserved exactly as given without quotes.
Ensure that all of Treatment variable, Outcome variable, and Condition variable are mentioned in the generated query.
"," In light of the housing_market.csv, what median home price (home_price) adjustment would be most prudent to potentially counteract the effects on mortgage rates (home_loan_rate) when dealing with a vacancy rate of 0.07 (empty_units_rate=0.07)?","{'causal_problem': ['CPL', None], 'dataset': ['housing_market.csv'], 'treatment': ['home_price'], 'response': ['home_loan_rate'], 'condition': [('empty_units_rate', 0.07)]}"
3,housing_market.csv,median home price,home_price,mortgage rates,home_loan_rate,vacancy rates,empty_units_rate,0.07,"Given the details below, generate five diverse and plain-worded questions. Each question should seek advice on what action a person or subject should take under specific conditions:
- Dataset name: housing_market.csv
- Treatment variable: median home price (home_price)
- Outcome variable: mortgage rates (home_loan_rate)
- Condition variable: vacancy rates
- Condition value: 0.07 (empty_units_rate=0.07)
-----------------------------------------------------------
Here are some examples:
Example 1: given the following information:
- Dataset name: diabetes.csv
- Treatment variable: insulin dose (Dose)
- Outcome variable: blood glucose condition (glucose)
- Condition variable: exercise frequency
- Condition value: 2 (exercise=2)

The corresponding questions can be:
- Based on the diabetes.csv dataset, what insulin dose (Dose) strategy is recommended for someone who exercises with a frequency value of 2 (exercise=2) to achieve optimal blood glucose condition (glucose) levels?
- Looking at the diabetes.csv data, what changes to insulin dose (Dose) might be advised for an individual with an exercise frequency of 2 (exercise=2) to effectively manage their blood glucose condition (glucose) levels?
- Considering the patient's consistent exercise frequency of 2 (exercise=2), what specific insights from the diabetes.csv dataset can guide me in determining the right insulin dose (Dose) for optimizing their monitored blood glucose condition (glucose)?

Example 2: given the following information:
- Dataset name: DRR.csv
- Treatment variable: disaster preparedness plan
- Outcome variable: building code compliance rate (BCC_rate)
- Condition variable: community resilience
- Condition value: 0.07

The corresponding questions can be:
- When we take a good look at what the DRR.csv's got and think about our community resilience being only 0.07, would you say giving the green light to that disaster preparedness plan is the way to go for bumping up our building code compliance rate (BCC_rate)?
- Upon examining the DRR.csv dataset, do we have a clear indication to implement the disaster preparedness plan, particularly given that our community resilience is quantified at just 0.07 and our goal is to enhance the building code compliance rate (BCC_rate)?
- Given that our community resilience is currently at 0.07, does the DRR.csv data suggest that adopting the disaster preparedness plan would significantly boost our building code compliance rate (BCC_rate)?

-----------------------------------------------------------
Ensure that the questions employ a mix of different phrasing and diverse sentence structures.
Ensure that the questions focus on soliciting recommendations for the best possible action listed in Treatment variable field.
Ensure that the questions do not mention correlation and association.
Ensure that the provided names are integrated naturally into the questions without discarding or altering any part of them.
Ensure that the input names are preserved exactly as given without quotes.
Ensure that all of Treatment variable, Outcome variable, and Condition variable are mentioned in the generated query.
"," Given the situation in the housing_market.csv where vacancy rates are 0.07 (empty_units_rate=0.07), can you suggest a median home price (home_price) that could be conducive to maintaining competitive mortgage rates (home_loan_rate)?","{'causal_problem': ['CPL', None], 'dataset': ['housing_market.csv'], 'treatment': ['home_price'], 'response': ['home_loan_rate'], 'condition': [('empty_units_rate', 0.07)]}"
4,housing_market.csv,median home price,home_price,mortgage rates,home_loan_rate,vacancy rates,empty_units_rate,0.07,"Given the details below, generate five diverse and plain-worded questions. Each question should seek advice on what action a person or subject should take under specific conditions:
- Dataset name: housing_market.csv
- Treatment variable: median home price (home_price)
- Outcome variable: mortgage rates (home_loan_rate)
- Condition variable: vacancy rates
- Condition value: 0.07 (empty_units_rate=0.07)
-----------------------------------------------------------
Here are some examples:
Example 1: given the following information:
- Dataset name: diabetes.csv
- Treatment variable: insulin dose (Dose)
- Outcome variable: blood glucose condition (glucose)
- Condition variable: exercise frequency
- Condition value: 2 (exercise=2)

The corresponding questions can be:
- Based on the diabetes.csv dataset, what insulin dose (Dose) strategy is recommended for someone who exercises with a frequency value of 2 (exercise=2) to achieve optimal blood glucose condition (glucose) levels?
- Looking at the diabetes.csv data, what changes to insulin dose (Dose) might be advised for an individual with an exercise frequency of 2 (exercise=2) to effectively manage their blood glucose condition (glucose) levels?
- Considering the patient's consistent exercise frequency of 2 (exercise=2), what specific insights from the diabetes.csv dataset can guide me in determining the right insulin dose (Dose) for optimizing their monitored blood glucose condition (glucose)?

Example 2: given the following information:
- Dataset name: DRR.csv
- Treatment variable: disaster preparedness plan
- Outcome variable: building code compliance rate (BCC_rate)
- Condition variable: community resilience
- Condition value: 0.07

The corresponding questions can be:
- When we take a good look at what the DRR.csv's got and think about our community resilience being only 0.07, would you say giving the green light to that disaster preparedness plan is the way to go for bumping up our building code compliance rate (BCC_rate)?
- Upon examining the DRR.csv dataset, do we have a clear indication to implement the disaster preparedness plan, particularly given that our community resilience is quantified at just 0.07 and our goal is to enhance the building code compliance rate (BCC_rate)?
- Given that our community resilience is currently at 0.07, does the DRR.csv data suggest that adopting the disaster preparedness plan would significantly boost our building code compliance rate (BCC_rate)?

-----------------------------------------------------------
Ensure that the questions employ a mix of different phrasing and diverse sentence structures.
Ensure that the questions focus on soliciting recommendations for the best possible action listed in Treatment variable field.
Ensure that the questions do not mention correlation and association.
Ensure that the provided names are integrated naturally into the questions without discarding or altering any part of them.
Ensure that the input names are preserved exactly as given without quotes.
Ensure that all of Treatment variable, Outcome variable, and Condition variable are mentioned in the generated query.
"," Using the housing_market.csv as a reference, what guidance is there on setting an appropriate median home price (home_price) to potentially respond to mortgage rates (home_loan_rate) when faced with a vacancy rate challenge of 0.07 (empty_units_rate=0.07)?","{'causal_problem': ['CPL', None], 'dataset': ['housing_market.csv'], 'treatment': ['home_price'], 'response': ['home_loan_rate'], 'condition': [('empty_units_rate', 0.07)]}"
5,political_engagement.csv,political rallies attendance,rallies_attended,campaign donations,funds_received,legislation passed,laws_enacted,0.57,"Given the details below, generate five diverse and plain-worded questions. Each question should seek advice on what action a person or subject should take under specific conditions:
- Dataset name: political_engagement.csv
- Treatment variable: political rallies attendance (rallies_attended)
- Outcome variable: campaign donations (funds_received)
- Condition variable: legislation passed
- Condition value: 0.57 (laws_enacted=0.57)
-----------------------------------------------------------
Here are some examples:
Example 1: given the following information:
- Dataset name: diabetes.csv
- Treatment variable: insulin dose (Dose)
- Outcome variable: blood glucose condition (glucose)
- Condition variable: exercise frequency
- Condition value: 2 (exercise=2)

The corresponding questions can be:
- Can you help me out with what to do with my insulin dose (Dose), based on the diabetes.csv you got, especially since I'm exercising at a level 2 (exercise=2)? I need to keep my blood glucose condition (glucose) in check.
- Looking at the diabetes.csv data, what changes to insulin dose (Dose) might be advised for an individual with an exercise frequency of 2 (exercise=2) to effectively manage their blood glucose condition (glucose) levels?
- If my exercise frequency is consistently at a value of 2 (exercise=2), how should I adjust my insulin dose (Dose) using the data from the diabetes.csv dataset to best manage my blood glucose condition (glucose)?

Example 2: given the following information:
- Dataset name: DRR.csv
- Treatment variable: disaster preparedness plan
- Outcome variable: building code compliance rate (BCC_rate)
- Condition variable: community resilience
- Condition value: 0.07

The corresponding questions can be:
- Could you recommend, based on what the DRR.csv shows and factoring in our community resilience of 0.07, whether implementing the disaster preparedness plan would be beneficial for enhancing the building code compliance rate (BCC_rate)?
- With a community resilience score of 0.07, does the information in the DRR.csv suggest that prioritizing the disaster preparedness plan will effectively optimize our building code compliance rate (BCC_rate)?
- In the context of our community resilience score standing at 0.07, does the empirical evidence provided in the DRR.csv dataset advocate for the implementation of the disaster preparedness plan as a means to optimize our building code compliance rate (BCC_rate)?

-----------------------------------------------------------
Ensure that the questions employ a mix of different phrasing and diverse sentence structures.
Ensure that the questions focus on soliciting recommendations for the best possible action listed in Treatment variable field.
Ensure that the questions do not mention correlation and association.
Ensure that the provided names are integrated naturally into the questions without discarding or altering any part of them.
Ensure that the input names are preserved exactly as given without quotes.
Ensure that all of Treatment variable, Outcome variable, and Condition variable are mentioned in the generated query.
"," Could you guide me on how to adjust the number of political rallies I attend (rallies_attended) as suggested by the political_engagement.csv, particularly when considering that the rate of legislation passed (laws_enacted) is at 0.57, to maximize the amount of campaign donations (funds_received)?","{'causal_problem': ['CPL', None], 'dataset': ['political_engagement.csv'], 'treatment': ['rallies_attended'], 'response': ['funds_received'], 'condition': [('laws_enacted', 0.57)]}"
6,political_engagement.csv,political rallies attendance,rallies_attended,campaign donations,funds_received,legislation passed,laws_enacted,0.57,"Given the details below, generate five diverse and plain-worded questions. Each question should seek advice on what action a person or subject should take under specific conditions:
- Dataset name: political_engagement.csv
- Treatment variable: political rallies attendance (rallies_attended)
- Outcome variable: campaign donations (funds_received)
- Condition variable: legislation passed
- Condition value: 0.57 (laws_enacted=0.57)
-----------------------------------------------------------
Here are some examples:
Example 1: given the following information:
- Dataset name: diabetes.csv
- Treatment variable: insulin dose (Dose)
- Outcome variable: blood glucose condition (glucose)
- Condition variable: exercise frequency
- Condition value: 2 (exercise=2)

The corresponding questions can be:
- Can you help me out with what to do with my insulin dose (Dose), based on the diabetes.csv you got, especially since I'm exercising at a level 2 (exercise=2)? I need to keep my blood glucose condition (glucose) in check.
- Looking at the diabetes.csv data, what changes to insulin dose (Dose) might be advised for an individual with an exercise frequency of 2 (exercise=2) to effectively manage their blood glucose condition (glucose) levels?
- If my exercise frequency is consistently at a value of 2 (exercise=2), how should I adjust my insulin dose (Dose) using the data from the diabetes.csv dataset to best manage my blood glucose condition (glucose)?

Example 2: given the following information:
- Dataset name: DRR.csv
- Treatment variable: disaster preparedness plan
- Outcome variable: building code compliance rate (BCC_rate)
- Condition variable: community resilience
- Condition value: 0.07

The corresponding questions can be:
- Could you recommend, based on what the DRR.csv shows and factoring in our community resilience of 0.07, whether implementing the disaster preparedness plan would be beneficial for enhancing the building code compliance rate (BCC_rate)?
- With a community resilience score of 0.07, does the information in the DRR.csv suggest that prioritizing the disaster preparedness plan will effectively optimize our building code compliance rate (BCC_rate)?
- In the context of our community resilience score standing at 0.07, does the empirical evidence provided in the DRR.csv dataset advocate for the implementation of the disaster preparedness plan as a means to optimize our building code compliance rate (BCC_rate)?

-----------------------------------------------------------
Ensure that the questions employ a mix of different phrasing and diverse sentence structures.
Ensure that the questions focus on soliciting recommendations for the best possible action listed in Treatment variable field.
Ensure that the questions do not mention correlation and association.
Ensure that the provided names are integrated naturally into the questions without discarding or altering any part of them.
Ensure that the input names are preserved exactly as given without quotes.
Ensure that all of Treatment variable, Outcome variable, and Condition variable are mentioned in the generated query.
"," In light of the details from political_engagement.csv, when legislation passed (laws_enacted) stands at 0.57, how should one go about altering their political rallies attendance (rallies_attended) strategy to possibly increase the flow of campaign donations (funds_received)?","{'causal_problem': ['CPL', None], 'dataset': ['political_engagement.csv'], 'treatment': ['rallies_attended'], 'response': ['funds_received'], 'condition': [('laws_enacted', 0.57)]}"
7,political_engagement.csv,political rallies attendance,rallies_attended,campaign donations,funds_received,legislation passed,laws_enacted,0.57,"Given the details below, generate five diverse and plain-worded questions. Each question should seek advice on what action a person or subject should take under specific conditions:
- Dataset name: political_engagement.csv
- Treatment variable: political rallies attendance (rallies_attended)
- Outcome variable: campaign donations (funds_received)
- Condition variable: legislation passed
- Condition value: 0.57 (laws_enacted=0.57)
-----------------------------------------------------------
Here are some examples:
Example 1: given the following information:
- Dataset name: diabetes.csv
- Treatment variable: insulin dose (Dose)
- Outcome variable: blood glucose condition (glucose)
- Condition variable: exercise frequency
- Condition value: 2 (exercise=2)

The corresponding questions can be:
- Can you help me out with what to do with my insulin dose (Dose), based on the diabetes.csv you got, especially since I'm exercising at a level 2 (exercise=2)? I need to keep my blood glucose condition (glucose) in check.
- Looking at the diabetes.csv data, what changes to insulin dose (Dose) might be advised for an individual with an exercise frequency of 2 (exercise=2) to effectively manage their blood glucose condition (glucose) levels?
- If my exercise frequency is consistently at a value of 2 (exercise=2), how should I adjust my insulin dose (Dose) using the data from the diabetes.csv dataset to best manage my blood glucose condition (glucose)?

Example 2: given the following information:
- Dataset name: DRR.csv
- Treatment variable: disaster preparedness plan
- Outcome variable: building code compliance rate (BCC_rate)
- Condition variable: community resilience
- Condition value: 0.07

The corresponding questions can be:
- Could you recommend, based on what the DRR.csv shows and factoring in our community resilience of 0.07, whether implementing the disaster preparedness plan would be beneficial for enhancing the building code compliance rate (BCC_rate)?
- With a community resilience score of 0.07, does the information in the DRR.csv suggest that prioritizing the disaster preparedness plan will effectively optimize our building code compliance rate (BCC_rate)?
- In the context of our community resilience score standing at 0.07, does the empirical evidence provided in the DRR.csv dataset advocate for the implementation of the disaster preparedness plan as a means to optimize our building code compliance rate (BCC_rate)?

-----------------------------------------------------------
Ensure that the questions employ a mix of different phrasing and diverse sentence structures.
Ensure that the questions focus on soliciting recommendations for the best possible action listed in Treatment variable field.
Ensure that the questions do not mention correlation and association.
Ensure that the provided names are integrated naturally into the questions without discarding or altering any part of them.
Ensure that the input names are preserved exactly as given without quotes.
Ensure that all of Treatment variable, Outcome variable, and Condition variable are mentioned in the generated query.
"," With the information provided by political_engagement.csv and the condition that legislation passed (laws_enacted) is 0.57, what's the best course of action to take regarding the frequency of attending political rallies (rallies_attended) to potentially influence campaign donations (funds_received)?","{'causal_problem': ['CPL', None], 'dataset': ['political_engagement.csv'], 'treatment': ['rallies_attended'], 'response': ['funds_received'], 'condition': [('laws_enacted', 0.57)]}"
8,political_engagement.csv,political rallies attendance,rallies_attended,campaign donations,funds_received,legislation passed,laws_enacted,0.57,"Given the details below, generate five diverse and plain-worded questions. Each question should seek advice on what action a person or subject should take under specific conditions:
- Dataset name: political_engagement.csv
- Treatment variable: political rallies attendance (rallies_attended)
- Outcome variable: campaign donations (funds_received)
- Condition variable: legislation passed
- Condition value: 0.57 (laws_enacted=0.57)
-----------------------------------------------------------
Here are some examples:
Example 1: given the following information:
- Dataset name: diabetes.csv
- Treatment variable: insulin dose (Dose)
- Outcome variable: blood glucose condition (glucose)
- Condition variable: exercise frequency
- Condition value: 2 (exercise=2)

The corresponding questions can be:
- Can you help me out with what to do with my insulin dose (Dose), based on the diabetes.csv you got, especially since I'm exercising at a level 2 (exercise=2)? I need to keep my blood glucose condition (glucose) in check.
- Looking at the diabetes.csv data, what changes to insulin dose (Dose) might be advised for an individual with an exercise frequency of 2 (exercise=2) to effectively manage their blood glucose condition (glucose) levels?
- If my exercise frequency is consistently at a value of 2 (exercise=2), how should I adjust my insulin dose (Dose) using the data from the diabetes.csv dataset to best manage my blood glucose condition (glucose)?

Example 2: given the following information:
- Dataset name: DRR.csv
- Treatment variable: disaster preparedness plan
- Outcome variable: building code compliance rate (BCC_rate)
- Condition variable: community resilience
- Condition value: 0.07

The corresponding questions can be:
- Could you recommend, based on what the DRR.csv shows and factoring in our community resilience of 0.07, whether implementing the disaster preparedness plan would be beneficial for enhancing the building code compliance rate (BCC_rate)?
- With a community resilience score of 0.07, does the information in the DRR.csv suggest that prioritizing the disaster preparedness plan will effectively optimize our building code compliance rate (BCC_rate)?
- In the context of our community resilience score standing at 0.07, does the empirical evidence provided in the DRR.csv dataset advocate for the implementation of the disaster preparedness plan as a means to optimize our building code compliance rate (BCC_rate)?

-----------------------------------------------------------
Ensure that the questions employ a mix of different phrasing and diverse sentence structures.
Ensure that the questions focus on soliciting recommendations for the best possible action listed in Treatment variable field.
Ensure that the questions do not mention correlation and association.
Ensure that the provided names are integrated naturally into the questions without discarding or altering any part of them.
Ensure that the input names are preserved exactly as given without quotes.
Ensure that all of Treatment variable, Outcome variable, and Condition variable are mentioned in the generated query.
"," What's the advisable approach to participating in political rallies (rallies_attended), according to the insights from political_engagement.csv, to possibly affect the campaign donations (funds_received) when the benchmark for legislation passed (laws_enacted) is at 0.57?","{'causal_problem': ['CPL', None], 'dataset': ['political_engagement.csv'], 'treatment': ['rallies_attended'], 'response': ['funds_received'], 'condition': [('laws_enacted', 0.57)]}"
9,political_engagement.csv,political rallies attendance,rallies_attended,campaign donations,funds_received,legislation passed,laws_enacted,0.57,"Given the details below, generate five diverse and plain-worded questions. Each question should seek advice on what action a person or subject should take under specific conditions:
- Dataset name: political_engagement.csv
- Treatment variable: political rallies attendance (rallies_attended)
- Outcome variable: campaign donations (funds_received)
- Condition variable: legislation passed
- Condition value: 0.57 (laws_enacted=0.57)
-----------------------------------------------------------
Here are some examples:
Example 1: given the following information:
- Dataset name: diabetes.csv
- Treatment variable: insulin dose (Dose)
- Outcome variable: blood glucose condition (glucose)
- Condition variable: exercise frequency
- Condition value: 2 (exercise=2)

The corresponding questions can be:
- Can you help me out with what to do with my insulin dose (Dose), based on the diabetes.csv you got, especially since I'm exercising at a level 2 (exercise=2)? I need to keep my blood glucose condition (glucose) in check.
- Looking at the diabetes.csv data, what changes to insulin dose (Dose) might be advised for an individual with an exercise frequency of 2 (exercise=2) to effectively manage their blood glucose condition (glucose) levels?
- If my exercise frequency is consistently at a value of 2 (exercise=2), how should I adjust my insulin dose (Dose) using the data from the diabetes.csv dataset to best manage my blood glucose condition (glucose)?

Example 2: given the following information:
- Dataset name: DRR.csv
- Treatment variable: disaster preparedness plan
- Outcome variable: building code compliance rate (BCC_rate)
- Condition variable: community resilience
- Condition value: 0.07

The corresponding questions can be:
- Could you recommend, based on what the DRR.csv shows and factoring in our community resilience of 0.07, whether implementing the disaster preparedness plan would be beneficial for enhancing the building code compliance rate (BCC_rate)?
- With a community resilience score of 0.07, does the information in the DRR.csv suggest that prioritizing the disaster preparedness plan will effectively optimize our building code compliance rate (BCC_rate)?
- In the context of our community resilience score standing at 0.07, does the empirical evidence provided in the DRR.csv dataset advocate for the implementation of the disaster preparedness plan as a means to optimize our building code compliance rate (BCC_rate)?

-----------------------------------------------------------
Ensure that the questions employ a mix of different phrasing and diverse sentence structures.
Ensure that the questions focus on soliciting recommendations for the best possible action listed in Treatment variable field.
Ensure that the questions do not mention correlation and association.
Ensure that the provided names are integrated naturally into the questions without discarding or altering any part of them.
Ensure that the input names are preserved exactly as given without quotes.
Ensure that all of Treatment variable, Outcome variable, and Condition variable are mentioned in the generated query.
"," Given that the legislation passed (laws_enacted) is currently at a value of 0.57, as per the political_engagement.csv dataset, what steps should be considered when planning attendance at political rallies (rallies_attended) to possibly have a positive impact on the subsequent campaign donations (funds_received)?","{'causal_problem': ['CPL', None], 'dataset': ['political_engagement.csv'], 'treatment': ['rallies_attended'], 'response': ['funds_received'], 'condition': [('laws_enacted', 0.57)]}"
